record_key,motivo
ptbxl_172,picchi_insufficienti
ptbxl_186,picchi_insufficienti
ptbxl_188,picchi_insufficienti
ptbxl_255,picchi_insufficienti
ptbxl_269,picchi_insufficienti
ptbxl_287,picchi_insufficienti
ptbxl_385,picchi_insufficienti
ptbxl_390,picchi_insufficienti
ptbxl_473,picchi_insufficienti
ptbxl_498,picchi_insufficienti
ptbxl_512,picchi_insufficienti
ptbxl_554,picchi_insufficienti
ptbxl_583,picchi_insufficienti
ptbxl_621,picchi_insufficienti
ptbxl_633,picchi_insufficienti
ptbxl_711,picchi_insufficienti
ptbxl_721,picchi_insufficienti
ptbxl_754,picchi_insufficienti
ptbxl_755,picchi_insufficienti
ptbxl_838,picchi_insufficienti
ptbxl_861,picchi_insufficienti
ptbxl_869,picchi_insufficienti
ptbxl_903,picchi_insufficienti
ptbxl_904,picchi_insufficienti
ptbxl_944,picchi_insufficienti
ptbxl_959,picchi_insufficienti
ptbxl_976,picchi_insufficienti
ptbxl_1027,picchi_insufficienti
ptbxl_1060,picchi_insufficienti
ptbxl_1087,picchi_insufficienti
ptbxl_1123,picchi_insufficienti
ptbxl_1147,picchi_insufficienti
ptbxl_1148,picchi_insufficienti
ptbxl_1232,picchi_insufficienti
ptbxl_1237,picchi_insufficienti
ptbxl_1292,picchi_insufficienti
ptbxl_1300,picchi_insufficienti
ptbxl_1343,picchi_insufficienti
ptbxl_1364,picchi_insufficienti
ptbxl_1367,picchi_insufficienti
ptbxl_1441,picchi_insufficienti
ptbxl_1500,picchi_insufficienti
ptbxl_1564,picchi_insufficienti
ptbxl_1573,picchi_insufficienti
ptbxl_1617,picchi_insufficienti
ptbxl_1675,picchi_insufficienti
ptbxl_1756,picchi_insufficienti
ptbxl_1776,picchi_insufficienti
ptbxl_1781,picchi_insufficienti
ptbxl_1785,picchi_insufficienti
ptbxl_1816,picchi_insufficienti
ptbxl_1907,picchi_insufficienti
ptbxl_1950,picchi_insufficienti
ptbxl_2042,picchi_insufficienti
ptbxl_2136,picchi_insufficienti
ptbxl_2276,picchi_insufficienti
ptbxl_2278,picchi_insufficienti
ptbxl_2493,picchi_insufficienti
ptbxl_2559,picchi_insufficienti
ptbxl_2563,picchi_insufficienti
ptbxl_2570,picchi_insufficienti
ptbxl_2599,picchi_insufficienti
ptbxl_2609,picchi_insufficienti
ptbxl_2650,picchi_insufficienti
ptbxl_2663,picchi_insufficienti
ptbxl_2664,picchi_insufficienti
ptbxl_2671,picchi_insufficienti
ptbxl_2684,picchi_insufficienti
ptbxl_2716,picchi_insufficienti
ptbxl_2894,picchi_insufficienti
ptbxl_2898,picchi_insufficienti
